		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.017	-0.014	-0.016	-0.087	-0.050	0.0075	-0.17	-0.15	-0.14				0.23	-0.053	0.039				0.062	0.0012	0.036	-0.059	-0.095																						-0.050
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.25)	(0.18)	(0.17)				(0.18)	(0.17)	(0.19)	(0.18)	(0.18)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.037	-0.026	-0.027	-0.025	-0.056	-0.041	-0.028	-0.024	-0.015	-0.042	-0.052	-0.10	0.16	-0.041	-0.100**	0.021	0.021	-0.053	-0.014	0.0025	-0.043	-0.044	-0.045	-0.00083	-0.040	0.041	-0.033	-0.033	0.069	-0.0035	-0.011	-0.039	-0.059	0.043	0.043	-0.15**	-0.059	0.043	0.043	0.097	-0.039	-0.059	-0.015	0.043	0.020
		(0.047)	(0.047)	(0.047)	(0.047)	(0.053)	(0.046)	(0.048)	(0.049)	(0.049)	(0.049)	(0.064)	(0.096)	(0.18)	(0.048)	(0.049)	(0.056)	(0.056)	(0.056)	(0.048)	(0.047)	(0.065)	(0.053)	(0.052)	(0.075)	(0.053)	(0.076)	(0.053)	(0.053)	(0.052)	(0.053)	(0.071)	(0.072)	(0.082)	(0.068)	(0.068)	(0.074)	(0.080)	(0.099)	(0.068)	(0.069)	(0.072)	(0.082)	(0.060)	(0.083)	(0.055)
4.nationality_num	Nationality = 4, French	-0.010	-0.040	-0.040	-0.039	-0.030	-0.014	0.024	0.017	0.036	-0.011	-0.016	-0.010	0.015	-0.074	0.017	-0.12	-0.12	-0.073	0.034	0.0069	-0.036	-0.049	-0.052	-0.063	-0.055	-0.042	-0.024	-0.024	0.0074	0.037	-0.055	-0.038	-0.047	0.042	0.042	-0.019	0.020	0.042	0.042	0.072	-0.038	-0.047	-0.026	0.042	0.029
		(0.061)	(0.062)	(0.063)	(0.062)	(0.065)	(0.061)	(0.065)	(0.065)	(0.067)	(0.064)	(0.064)	(0.064)	(0.063)	(0.073)	(0.071)	(0.083)	(0.083)	(0.081)	(0.064)	(0.070)	(0.082)	(0.066)	(0.064)	(0.067)	(0.067)	(0.071)	(0.070)	(0.070)	(0.073)	(0.071)	(0.083)	(0.087)	(0.086)	(0.085)	(0.085)	(0.077)	(0.087)	(0.13)	(0.085)	(0.088)	(0.087)	(0.086)	(0.075)	(0.12)	(0.067)
5.nationality_num	Nationality = 5, Spanish	0.50***	0.32**	0.35*	0.41**	0.50***		0.54***	0.53***	0.55***	0.46***	0.46***	0.47***	0.50***	0.41***	0.49***				0.61***	0.63***	0.45***	0.36***																							0.43**
