		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
2.nationality_num	Nationality = 2, Dutch	0.37	0.22	0.33	0.051	-0.092	0.51	0.37	0.37	0.48	0.37	0.54	0.097	0.33	0.36	0.33	0.46	0.46	0.44	0.25	0.073	0.30	-0.055	-0.045	0.27	-0.084	0.20	-0.13	-0.13	-0.87**	-0.85**	-0.63	-0.96*	-1.05*	-0.78	-0.78	-0.32	-0.92	-0.78	-0.78	-0.13	-0.96*	-1.05*	-0.36	-0.78*	-0.27
		(0.45)	(0.46)	(0.45)	(0.48)	(0.40)	(0.44)	(0.46)	(0.46)	(0.44)	(0.47)	(0.57)	(0.53)	(0.78)	(0.46)	(0.46)	(0.48)	(0.48)	(0.48)	(0.34)	(0.37)	(0.60)	(0.41)	(0.41)	(0.63)	(0.51)	(0.64)	(0.51)	(0.51)	(0.32)	(0.33)	(0.40)	(0.51)	(0.52)	(0.48)	(0.48)	(0.22)	(0.60)	(0.89)	(0.48)	(0.49)	(0.51)	(0.52)	(0.25)	(0.38)	(0.31)
4.nationality_num	Nationality = 4, French	0.37*	0.25	0.35	0.19	0.29	0.51**	0.37*	0.38*	0.54**	0.27	0.25	0.35	0.29	0.36	0.31	0.42*	0.42*	0.35	0.47***	0.14	0.32	0.27	0.28	0.19	0.20	0.12	0.18	0.18	-0.18	-0.21	0.019	-0.27	-0.38	-0.15	-0.15	-0.22*	-0.13	-0.15	-0.15	0.35	-0.27	-0.38	-0.070	-0.15	0.27
		(0.22)	(0.23)	(0.23)	(0.27)	(0.20)	(0.22)	(0.22)	(0.22)	(0.22)	(0.24)	(0.25)	(0.25)	(0.23)	(0.23)	(0.23)	(0.23)	(0.23)	(0.24)	(0.16)	(0.18)	(0.25)	(0.20)	(0.21)	(0.27)	(0.26)	(0.28)	(0.26)	(0.26)	(0.18)	(0.18)	(0.23)	(0.34)	(0.34)	(0.31)	(0.31)	(0.13)	(0.36)	(0.43)	(0.31)	(0.31)	(0.34)	(0.34)	(0.16)	(0.26)	(0.18)
YEARAF	Year departed Africa (imputed)		0.0057	-1.57**																			0.0049	0.0053	0.0029	-0.00090	0.0028	-0.0037	-0.0037	0.0038	0.0049	0.0020														
			(0.0040)	(0.62)																			(0.0065)	(0.0067)	(0.0099)	(0.0092)	(0.0099)	(0.010)	(0.010)	(0.0061)	(0.0064)	(0.0068)														
yearsq	yearsq			0.00045**																																										
