		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.21	0.18	0.17	0.13	0.15	0.20	0.0090	0.022	0.030				0.41*	0.15	0.23				0.24	0.18	0.24	0.14	0.11																						0.14
		(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.16)	(0.37)	(0.37)	(0.36)				(0.23)	(0.16)	(0.16)				(0.17)	(0.16)	(0.18)	(0.17)	(0.16)																						(0.17)
2.nationality_num	Nationality = 2, Dutch	-0.032	-0.023	-0.025	-0.021	-0.047	-0.035	-0.023	-0.021	-0.012	-0.037	-0.043	-0.086	0.17	-0.033	-0.091**	0.013	0.013	-0.057	-0.015	-0.0025	-0.012	-0.038	-0.042	0.000093	-0.037	0.041	-0.030	-0.030	0.045	-0.025	-0.044	-0.067	-0.079	-0.012	-0.012	-0.16**	-0.048	-0.012	-0.012	0.050	-0.067	-0.079	-0.038	-0.012	0.0068
		(0.044)	(0.044)	(0.044)	(0.044)	(0.050)	(0.042)	(0.045)	(0.046)	(0.046)	(0.045)	(0.060)	(0.089)	(0.16)	(0.044)	(0.046)	(0.050)	(0.050)	(0.050)	(0.045)	(0.043)	(0.061)	(0.050)	(0.047)	(0.069)	(0.048)	(0.069)	(0.048)	(0.048)	(0.046)	(0.046)	(0.063)	(0.064)	(0.072)	(0.061)	(0.061)	(0.069)	(0.072)	(0.081)	(0.061)	(0.062)	(0.064)	(0.072)	(0.058)	(0.066)	(0.051)
4.nationality_num	Nationality = 4, French	-0.0058	-0.030	-0.031	-0.029	-0.022	-0.011	0.026	0.019	0.037	-0.0056	-0.011	-0.0063	0.019	-0.058	0.023	-0.11	-0.11	-0.067	0.031	0.0021	-0.018	-0.037	-0.045	-0.056	-0.048	-0.036	-0.018	-0.018	-0.010	0.019	-0.078	-0.068	-0.072	-0.016	-0.016	-0.061	-0.025	-0.016	-0.016	0.023	-0.068	-0.072	-0.048	-0.016	0.021
		(0.058)	(0.059)	(0.059)	(0.058)	(0.061)	(0.055)	(0.060)	(0.060)	(0.062)	(0.060)	(0.060)	(0.060)	(0.059)	(0.069)	(0.066)	(0.074)	(0.074)	(0.072)	(0.060)	(0.065)	(0.076)	(0.062)	(0.059)	(0.061)	(0.061)	(0.064)	(0.063)	(0.063)	(0.065)	(0.063)	(0.074)	(0.077)	(0.076)	(0.076)	(0.076)	(0.071)	(0.078)	(0.12)	(0.076)	(0.078)	(0.077)	(0.076)	(0.072)	(0.11)	(0.062)
5.nationality_num	Nationality = 5, Spanish	0.88***	0.73***	0.84***	0.79***	0.88***		0.91***	0.90***	0.92***	0.83***	0.84***	0.84***	0.88***	0.81***	0.87***				0.96***	0.95***	0.85***	0.76***																							0.77***
